[22:37:04.043560 ERROR] [openstudio.model.YearDescription] 'UseWeatherFile' is selected in YearDescription, but there are no weather file set for the model.
[22:37:04.044270 ERROR] [openstudio.model.YearDescription] 'UseWeatherFile' is selected in YearDescription, but there are no weather file set for the model.
[22:37:04.195511 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Sales A end_a - Story ground Wall 1', and 'SuperMarket Sales B end_a - Story ground Wall 4'
[22:37:04.196325 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Sales B end_a - Story ground Wall 3', and 'SuperMarket Sales C end_a - Story ground Wall 3'
[22:37:04.197813 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Sales A  - Story ground Wall 1', and 'SuperMarket Sales A end_a - Story ground Wall 4'
[22:37:04.198389 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Sales B  - Story ground Wall 2', and 'SuperMarket Sales C  - Story ground Wall 3'
[22:37:04.198847 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Sales A  - Story ground Wall 2', and 'SuperMarket Sales B  - Story ground Wall 3'
[22:37:04.199314 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Office A  - Story ground Wall 2', and 'SuperMarket Office B  - Story ground Wall 3'
[22:37:04.199787 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Office A  - Story ground Wall 4', and 'SuperMarket Vestibule A  - Story ground Wall 1'
[22:37:04.200240 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Sales C end_a - Story ground Wall 4', and 'SuperMarket Sales C  - Story ground Wall 1'
[22:37:04.200883 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Sales A  - Story ground Wall 4', and 'SuperMarket Office A  - Story ground Wall 1'
[22:37:04.201923 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Office B  - Story ground Wall 4', and 'SuperMarket Vestibule B  - Story ground Wall 1'
[22:37:04.202796 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Office C  - Story ground Wall 4', and 'SuperMarket Vestibule C  - Story ground Wall 1'
[22:37:04.203514 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Office C  - Story ground Wall 3', and 'SuperMarket Office B  - Story ground Wall 2'
[22:37:04.204126 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Vestibule B  - Story ground Wall 2', and 'SuperMarket Vestibule C  - Story ground Wall 3'
[22:37:04.204797 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Vestibule B  - Story ground Wall 4', and 'SuperMarket Dining B  - Story ground Wall 1'
[22:37:04.205233 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Corridor C  - Story ground Wall 3', and 'SuperMarket Meeting C  - Story ground Wall 4'
[22:37:04.205617 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Dining B  - Story ground Wall 2', and 'SuperMarket Dining C  - Story ground Wall 3'
[22:37:04.206217 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Vestibule A  - Story ground Wall 4', and 'SuperMarket Dining A  - Story ground Wall 1'
[22:37:04.206769 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Dining B  - Story ground Wall 4', and 'SuperMarket Meeting B  - Story ground Wall 1'
[22:37:04.207177 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Dining B  - Story ground Wall 3', and 'SuperMarket Dining A  - Story ground Wall 2'
[22:37:04.207611 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Dining C  - Story ground Wall 4', and 'SuperMarket Meeting C  - Story ground Wall 1'
[22:37:04.208043 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Meeting B  - Story ground Wall 2', and 'SuperMarket Meeting C  - Story ground Wall 3'
[22:37:04.208499 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Meeting B  - Story ground Wall 4', and 'SuperMarket Corridor B  - Story ground Wall 4'
[22:37:04.208920 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Corridor A  - Story ground Wall 4', and 'SuperMarket Elec/MechRoom A  - Story ground Wall 1'
[22:37:04.209321 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Office C  - Story ground Wall 1', and 'SuperMarket Sales C  - Story ground Wall 4'
[22:37:04.209713 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Dining A  - Story ground Wall 4', and 'SuperMarket Meeting A  - Story ground Wall 1'
[22:37:04.210115 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Corridor B  - Story ground Wall 1', and 'SuperMarket Corridor C  - Story ground Wall 1'
[22:37:04.210505 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Corridor B  - Story ground Wall 3', and 'SuperMarket Elec/MechRoom B  - Story ground Wall 1'
[22:37:04.210909 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Corridor B  - Story ground Wall 2', and 'SuperMarket Corridor A  - Story ground Wall 2'
[22:37:04.211310 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Deli C  - Story ground Wall 4', and 'SuperMarket DryStorage C  - Story ground Wall 1'
