[14:51:57.355855 ERROR] [openstudio.model.YearDescription] 'UseWeatherFile' is selected in YearDescription, but there are no weather file set for the model.
[14:51:57.356596 ERROR] [openstudio.model.YearDescription] 'UseWeatherFile' is selected in YearDescription, but there are no weather file set for the model.
[14:51:57.533064 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Sales B end_a - Story ground Wall 2', and 'SuperMarket Sales C end_a - Story ground Wall 3'
[14:51:57.533924 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Sales C end_a - Story ground Wall 4', and 'SuperMarket Sales C  - Story ground Wall 1'
[14:51:57.534753 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Sales A  - Story ground Wall 1', and 'SuperMarket Sales A end_a - Story ground Wall 4'
[14:51:57.535259 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Office B  - Story ground Wall 2', and 'SuperMarket Office C  - Story ground Wall 3'
[14:51:57.535876 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Office B  - Story ground Wall 3', and 'SuperMarket Office A  - Story ground Wall 2'
[14:51:57.536343 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Office A  - Story ground Wall 1', and 'SuperMarket Sales A  - Story ground Wall 4'
[14:51:57.537048 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Sales A end_a - Story ground Wall 1', and 'SuperMarket Sales B end_a - Story ground Wall 3'
[14:51:57.537647 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Office C  - Story ground Wall 4', and 'SuperMarket Vestibule C  - Story ground Wall 1'
[14:51:57.538142 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Office C  - Story ground Wall 1', and 'SuperMarket Sales C  - Story ground Wall 4'
[14:51:57.538600 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Vestibule A  - Story ground Wall 2', and 'SuperMarket Vestibule B  - Story ground Wall 3'
[14:51:57.539036 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Vestibule B  - Story ground Wall 2', and 'SuperMarket Vestibule C  - Story ground Wall 3'
[14:51:57.539462 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Vestibule B  - Story ground Wall 4', and 'SuperMarket Dining B  - Story ground Wall 1'
[14:51:57.539889 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Vestibule C  - Story ground Wall 4', and 'SuperMarket Dining C  - Story ground Wall 1'
[14:51:57.540346 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Dining A  - Story ground Wall 1', and 'SuperMarket Vestibule A  - Story ground Wall 4'
[14:51:57.540864 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Dining A  - Story ground Wall 2', and 'SuperMarket Dining B  - Story ground Wall 3'
[14:51:57.541288 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Dining A  - Story ground Wall 4', and 'SuperMarket Meeting A  - Story ground Wall 1'
[14:51:57.541663 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Dining B  - Story ground Wall 2', and 'SuperMarket Dining C  - Story ground Wall 3'
[14:51:57.542071 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Dining B  - Story ground Wall 4', and 'SuperMarket Meeting B  - Story ground Wall 1'
[14:51:57.542535 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Dining C  - Story ground Wall 4', and 'SuperMarket Meeting C  - Story ground Wall 1'
[14:51:57.543094 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Sales A  - Story ground Wall 2', and 'SuperMarket Sales B  - Story ground Wall 3'
[14:51:57.543532 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Sales B  - Story ground Wall 2', and 'SuperMarket Sales C  - Story ground Wall 3'
[14:51:57.543987 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Meeting A  - Story ground Wall 4', and 'SuperMarket Corridor A  - Story ground Wall 1'
[14:51:57.544705 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Meeting B  - Story ground Wall 2', and 'SuperMarket Meeting C  - Story ground Wall 3'
[14:51:57.545505 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Meeting B  - Story ground Wall 4', and 'SuperMarket Corridor B  - Story ground Wall 1'
[14:51:57.546204 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Deli B  - Story ground Wall 1', and 'SuperMarket Bakery B  - Story ground Wall 4'
[14:51:57.546917 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Meeting A  - Story ground Wall 2', and 'SuperMarket Meeting B  - Story ground Wall 3'
[14:51:57.547579 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Corridor A  - Story ground Wall 2', and 'SuperMarket Corridor B  - Story ground Wall 3'
[14:51:57.548020 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Corridor A  - Story ground Wall 4', and 'SuperMarket Elec/MechRoom A  - Story ground Wall 1'
