Time,HOT WATER LOOP:ZONE SUPERMARKET BAKERY A  - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET BAKERY B  - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET BAKERY C  - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET CORRIDOR A  - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET CORRIDOR B  - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET CORRIDOR C  - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET DELI A  - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET DELI B  - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET DELI C  - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET DINING A  - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET DINING B  - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET DINING C  - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET DRYSTORAGE A  - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET DRYSTORAGE B  - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET DRYSTORAGE C  - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET ELEC/MECHROOM A  - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET ELEC/MECHROOM B  - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET ELEC/MECHROOM C  - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET MEETING A  - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET MEETING B  - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET MEETING C  - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET OFFICE A  - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET OFFICE B  - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET OFFICE C  - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET PRODUCE A  - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET PRODUCE A END_B - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET PRODUCE B  - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET PRODUCE B END_B - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET PRODUCE C  - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET PRODUCE C END_B - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET RESTROOM A  - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET RESTROOM B  - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET RESTROOM C  - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET SALES A  - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET SALES A END_A - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET SALES B  - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET SALES B END_A - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET SALES C  - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET SALES C END_A - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET VESTIBULE A  - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET VESTIBULE B  - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:ZONE SUPERMARKET VESTIBULE C  - STORY GROUND PSZ-AC WATER HTG COIL:Design Water Volume Flow Rate [m3/s]
00:10:00,8.707493E-05,5.582784E-04,7.616204E-05,1.054291E-06,1.051504E-05,1.054268E-06,1.056761E-04,6.930812E-04,9.337518E-05,4.586486E-05,4.911888E-04,4.325708E-05,1.308085E-04,6.525316E-04,1.177383E-04,7.865620E-07,0.000000E+00,7.987385E-07,6.060382E-06,8.398994E-05,6.059774E-06,8.506401E-07,8.484717E-06,8.506166E-07,1.675015E-04,1.191771E-04,9.793813E-04,8.191245E-04,1.453156E-04,1.071332E-04,4.942045E-05,4.608129E-04,4.826780E-05,8.666561E-04,1.439666E-04,3.489470E-03,1.084044E-03,7.727560E-04,1.360039E-04,1.243824E-06,1.187479E-05,1.243824E-06
00:20:00,8.712599E-05,5.582784E-04,7.620673E-05,1.054291E-06,1.051504E-05,1.054268E-06,1.056726E-04,6.930812E-04,9.337221E-05,4.669014E-05,4.911888E-04,4.403522E-05,1.307993E-04,6.523625E-04,1.177301E-04,1.140790E-06,0.000000E+00,1.155558E-06,6.060382E-06,8.398994E-05,6.059774E-06,8.506401E-07,8.484717E-06,8.506166E-07,1.674907E-04,1.191756E-04,9.790656E-04,8.190630E-04,1.453064E-04,1.071319E-04,4.942045E-05,4.608129E-04,4.826780E-05,8.668748E-04,1.439666E-04,3.489295E-03,1.083962E-03,7.729516E-04,1.360040E-04,1.243824E-06,1.187479E-05,1.243824E-06
00:30:00,8.717801E-05,5.582784E-04,7.625225E-05,1.394956E-06,1.051504E-05,1.409587E-06,1.056693E-04,6.930812E-04,9.336936E-05,4.750047E-05,4.911888E-04,4.479909E-05,1.307898E-04,6.521939E-04,1.177217E-04,1.542534E-06,0.000000E+00,1.559690E-06,6.060382E-06,8.398994E-05,6.059774E-06,8.506401E-07,8.484717E-06,8.506166E-07,1.674795E-04,1.191736E-04,9.787503E-04,8.189995E-04,1.452967E-04,1.071301E-04,4.942045E-05,4.608129E-04,4.826780E-05,8.670686E-04,1.439662E-04,3.489063E-03,1.083878E-03,7.731249E-04,1.360036E-04,1.243824E-06,1.187479E-05,1.243824E-06
00:40:00,8.723004E-05,5.582784E-04,7.629778E-05,1.868260E-06,1.051504E-05,1.885263E-06,1.056662E-04,6.930812E-04,9.336666E-05,4.828691E-05,4.911888E-04,4.554024E-05,1.307802E-04,6.520262E-04,1.177130E-04,1.895115E-06,0.000000E+00,1.910285E-06,6.060382E-06,8.398994E-05,6.059774E-06,8.506401E-07,8.484717E-06,8.506166E-07,1.674680E-04,1.191713E-04,9.784358E-04,8.189350E-04,1.452868E-04,1.071281E-04,4.942045E-05,4.608129E-04,4.826780E-05,8.672384E-04,1.439653E-04,3.488781E-03,1.083793E-03,7.732768E-04,1.360028E-04,1.243824E-06,1.187479E-05,1.243824E-06
00:50:00,8.728122E-05,5.582784E-04,7.634255E-05,2.257500E-06,1.051504E-05,2.272389E-06,1.056632E-04,6.930812E-04,9.336410E-05,4.904143E-05,4.911888E-04,4.625110E-05,1.307704E-04,6.518593E-04,1.177043E-04,2.211349E-06,0.000000E+00,2.226913E-06,6.060382E-06,8.398994E-05,6.059774E-06,8.506401E-07,8.484717E-06,8.506166E-07,1.674562E-04,1.191687E-04,9.781224E-04,8.188698E-04,1.452768E-04,1.071258E-04,4.942045E-05,4.608129E-04,4.826780E-05,8.673852E-04,1.439640E-04,3.488454E-03,1.083706E-03,7.734080E-04,1.360017E-04,1.243824E-06,1.187479E-05,1.243824E-06
01:00:00,8.733086E-05,5.582784E-04,7.638596E-05,2.617623E-06,1.051504E-05,2.632737E-06,1.056604E-04,6.930812E-04,9.336166E-05,4.975766E-05,4.911888E-04,4.692569E-05,1.307605E-04,6.516935E-04,1.176955E-04,2.489073E-06,0.000000E+00,2.503731E-06,6.060382E-06,8.398994E-05,6.059774E-06,8.506401E-07,8.484717E-06,8.506166E-07,1.674444E-04,1.191660E-04,9.778104E-04,8.188042E-04,1.452666E-04,1.071234E-04,4.942045E-05,4.608129E-04,4.826780E-05,8.675100E-04,1.439625E-04,3.488088E-03,1.083618E-03,7.735196E-04,1.360004E-04,1.243824E-06,1.187479E-05,1.243824E-06
01:10:00,8.738445E-05,5.582784E-04,7.643277E-05,2.926282E-06,1.051504E-05,2.940388E-06,1.056660E-04,6.930812E-04,9.336657E-05,5.043428E-05,4.911888E-04,4.756277E-05,1.307620E-04,6.517081E-04,1.176969E-04,2.729203E-06,0.000000E+00,2.743342E-06,6.060382E-06,8.398994E-05,6.059774E-06,9.300170E-07,8.484717E-06,9.416871E-07,1.674462E-04,1.191669E-04,9.778365E-04,8.188122E-04,1.452681E-04,1.071242E-04,4.942045E-05,4.608129E-04,4.826780E-05,8.677105E-04,1.439660E-04,3.488760E-03,1.083649E-03,7.736979E-04,1.360036E-04,1.243824E-06,1.187479E-05,1.243824E-06
01:20:00,8.743556E-05,5.582784E-04,7.647741E-05,3.193530E-06,1.051504E-05,3.207039E-06,1.056715E-04,6.930812E-04,9.337147E-05,5.106647E-05,4.911888E-04,4.815790E-05,1.307635E-04,6.517225E-04,1.176982E-04,2.939629E-06,0.000000E+00,2.953321E-06,6.060382E-06,8.398994E-05,6.059774E-06,1.054565E-06,8.484717E-06,1.065745E-06,1.674478E-04,1.191677E-04,9.778618E-04,8.188196E-04,1.452695E-04,1.071249E-04,4.942045E-05,4.608129E-04,4.826780E-05,8.678915E-04,1.439691E-04,3.489399E-03,1.083679E-03,7.738588E-04,1.360066E-04,1.243824E-06,1.187479E-05,1.243824E-06
01:30:00,8.748398E-05,5.582784E-04,7.651969E-05,3.427758E-06,1.051504E-05,3.440778E-06,1.056770E-04,6.930812E-04,9.337634E-05,5.165495E-05,4.911888E-04,4.871184E-05,1.307649E-04,6.517367E-04,1.176994E-04,3.125482E-06,0.000000E+00,3.138933E-06,6.060382E-06,8.398994E-05,6.059774E-06,1.164773E-06,8.484717E-06,1.175690E-06,1.674493E-04,1.191684E-04,9.778864E-04,8.188266E-04,1.452708E-04,1.071255E-04,4.942045E-05,4.608129E-04,4.826780E-05,8.680551E-04,1.439720E-04,3.490013E-03,1.083707E-03,7.740043E-04,1.360093E-04,1.243824E-06,1.187479E-05,1.243824E-06
01:40:00,8.752960E-05,5.582784E-04,7.655953E-05,3.634449E-06,1.051504E-05,3.647064E-06,1.056825E-04,6.930812E-04,9.338114E-05,5.220165E-05,4.911888E-04,4.922643E-05,1.307662E-04,6.517509E-04,1.177006E-04,3.290657E-06,0.000000E+00,3.303842E-06,6.060382E-06,8.398994E-05,6.059774E-06,1.263900E-06,8.484717E-06,1.274612E-06,1.674507E-04,1.191690E-04,9.779105E-04,8.188331E-04,1.452721E-04,1.071261E-04,4.942045E-05,4.608129E-04,4.826780E-05,8.682037E-04,1.439747E-04,3.490604E-03,1.083735E-03,7.741364E-04,1.360118E-04,1.243824E-06,1.187479E-05,1.243824E-06
